_RAJ2000,_DEJ2000,RAhms,DEdms,pc,HIP_2,HD_2,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_2,Mbol,log(L/Lsun),Habex,HIP_2a,L-A,L-B,Hab,SR1,SR3,lists_2,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_2b,Teff,HD_2a,notes,K,eTeff,ref_Teff,BCv_2a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_2a,Sample,Name,solRad
303.82245,-27.032976,20 15 16.58,-27 01 57.1,8.799,HIP_99825_,HD_192310_,5.73,0.878,0.018,113.6481,0.1186,GaiaDR2,6.01,Sun-like,K2+V,2006AJ....132..161G,-0.26,5.75,-0.403,33,HIP_99825_,1,1,2,0,0,4,-5.011,Isaacson10,0.6,Glebocki05,0.77,K2+V,HIP_99825_,1,HD_192310_,quiet,5104,43,2013ApJ...764...78R,,4.54,0.03,2013ApJ...764...78R,0.06,0.06,2013ApJ...764...78R,0.804,0,1,2,1,4,MUST,HIP_99825,0.790801760180697
49.8404,3.370198,03 19 21.54,+03 22 11.9,9.14,HIP_15457_,HD_20630_,4.84,0.681,0.006,109.41,0.27,HIP2,5.04,Sun-like,G5V,1989ApJS...71..245K,-0.105,4.93,-0.076,37,HIP_15457_,1,1,2,0,0,4,-4.42,Baliunas96,4.5,Glebocki05,0.98,G5V,HIP_15457_,0,HD_20630_,active,5749,26,2010MNRAS.403.1368G,,4.51,0.05,2010MNRAS.403.1368G,0.08,0.02,2010MNRAS.403.1368G,0.923,1,1,2,1,4,MUST,HIP_15457,0.847359352649497
75.20417,-5.7536755,05 00 48.68,-05 45 03.5,8.848,HIP_23311_,HD_32147_,6.22,1.049,0.011,113.0236,0.0324,GaiaDR2,6.49,Sun-like,K3+V,2003AJ....126.2048G,-0.37,6.12,-0.55,34,HIP_23311_,1,1,2,0,0,4,-4.948,Baliunas96,1.4,Glebocki05,0.75,K3+V,HIP_23311_,1,HD_32147_,quiet,4745,42,2013ApJ...764...78R,,4.57,0.02,2013ApJ...764...78R,0.19,0.08,2013ApJ...764...78R,0.785,0,1,2,1,4,MUST,HIP_23311,0.738019143766466
199.60132,-18.311195,13 18 24.97,-18 18 31.0,8.555,HIP_64924_,HD_115617_,4.74,0.709,0.007,116.89,0.22,HIP2,5.08,Sun-like,G6.5V,1989ApJS...71..245K,-0.12,4.96,-0.088,29,HIP_64924_,1,1,2,0,0,4,-5.001,Baliunas96,1.8,Glebocki05,0.97,G6.5V,HIP_64924_,1,HD_115617_,quiet,5537,16,2013A&A...555A.150T,,4.38,0.04,2013A&A...555A.150T,-0.03,0.01,2013A&A...555A.150T,0.982,0,1,2,1,4,MUST,HIP_64924,1.14305631494106
302.1817,-66.18207,20 08 41.86,-66 10 45.6,6.108,HIP_99240_,HD_190248_,3.55,0.751,0.021,163.71,0.17,HIP2,4.62,Sun-like,G8IV,2006AJ....132..161G,-0.14,4.48,0.104,20,HIP_99240_,1,1,2,1,0,5,-4.999,Henry96,2,Glebocki05,0.94,G8IV,HIP_99240_,1,HD_190248_,quiet,5566,36,2013A&A...555A.150T,,4.24,0.06,2013A&A...555A.150T,0.32,0.03,2013A&A...555A.150T,1.212,0,1,2,1,5,MUST,HIP_99240,1.5778569506996
124.59978,-12.632174,08 18 23.78,-12 37 47.2,12.564,HIP_40693_,HD_69830_,5.95,0.754,0.009,79.5945,0.0607,GaiaDR2,5.45,Sun-like,G8+V,2006AJ....132..161G,-0.14,5.31,-0.23,71,HIP_40693_,1,1,1,0,0,3,-4.987,Isaacson10,2.2,Glebocki05,0.93,G8+V,HIP_40693_,1,HD_69830_,quiet,5442,30,2013ApJ...764...78R,,4.53,0.02,2013ApJ...764...78R,-0.02,0.04,2013ApJ...764...78R,0.863,0,1,2,1,3,MUST,HIP_40693,0.809221899476192
327.06564,-47.303616,21 48 15.61,-47 18 10.4,15.561,HIP_107649_,HD_207129_,5.57,0.601,0.003,64.264,0.0685,GaiaDR2,4.61,Sun-like,G0V_Fe+0.4,2006AJ....132..161G,-0.065,4.54,0.078,105,HIP_107649_,1,1,1,0,0,3,-4.8,Henry96,1.8,Glebocki05,1.08,G0V_Fe+0.4,HIP_107649_,1,HD_207129_,slightly active,5946,11,2013A&A...555A.150T,,4.48,0.03,2013A&A...555A.150T,0.01,0.01,2013A&A...555A.150T,1.031,0,1,2,1,3,MUST,HIP_107649,0.907961904837576
176.62947,-40.500355,11 46 32.25,-40 30 04.8,9.292,HIP_57443_,HD_102365_,4.89,0.664,0.004,107.621,0.1636,GaiaDR2,5.05,Sun-like,G2V,2006AJ....132..161G,-0.085,4.96,-0.09,41,HIP_57443_,1,1,2,0,0,4,-4.931,Isaacson10,2.7,Glebocki05,1.02,G2V,HIP_57443_,1,HD_102365_,quiet,5655,56,2013ApJ...764...78R,,4.44,0.03,2013ApJ...764...78R,-0.29,0.04,2013ApJ...764...78R,0.939,0,1,2,1,4,MUST,HIP_57443,0.995560431583035
54.21826,0.4016616,03 36 52.52,+00 24 10.2,13.963,HIP_16852_,HD_22484_,4.29,0.575,0.008,71.62,0.54,HIP2,3.57,Sun-like,F9IV-V,1989ApJS...71..245K,-0.05,3.52,0.49,85,HIP_16852_,1,1,1,0,0,3,-5.12,Wright04,3.7,Glebocki05,1.14,F9IV-V,HIP_16852_,1,HD_22484_,quiet,5971,50,2013ApJ...764...78R,,4.06,0.02,2013ApJ...764...78R,-0.09,0.03,2013ApJ...764...78R,1.643,0,1,2,1,3,MUST,HIP_16852,2.38818313615464
236.61089,7.353073,15 46 26.75,+07 21 11.7,11.819,HIP_77257_,HD_141004_,4.42,0.604,0.008,84.6121,0.2559,GaiaDR2,4.06,Sun-like,G0-V,1989ApJS...71..245K,-0.065,3.99,0.299,64,HIP_77257_,1,1,1,0,0,3,-5.004,Baliunas96,3.3,Glebocki05,1.09,G0-V,HIP_77257_,1,HD_141004_,quiet,5900,45,2013ApJ...764...78R,,4.17,0.03,2013ApJ...764...78R,-0.01,0.04,2013ApJ...764...78R,1.351,0,1,2,1,3,MUST,HIP_77257,1.85382027342131
214.77014,-59.379036,14 19 05.36,-59 22 37.4,11.841,HIP_69972_,HD_125072_,6.66,1.017,0.032,84.4535,0.0349,GaiaDR2,6.29,Sun-like,K3IV,2006AJ....132..161G,-0.37,5.92,-0.473,_,HIP_69972_,1,1,0,0,0,2,-5.114,BoroSaikia18,0.9,Glebocki05,0.83,K3IV,HIP_69972_,1,HD_125072_,quiet,4903,44,2005ApJS..159..141V,,4.69,0.06,2005ApJS..159..141V,0.32,0.03,2005ApJS..159..141V,0.804,0,1,2,1,2,MUST,HIP_69972,0.55984477240348
87.145584,-4.094648,05 48 34.90,-04 05 38.7,15.255,HIP_27435_,HD_38858_,5.97,0.639,0.002,65.5534,0.0621,GaiaDR2,5.05,Sun-like,G2V,2003AJ....126.2048G,-0.085,4.97,-0.091,103,HIP_27435_,1,1,1,0,0,3,-4.89,Radick18,2.7,Glebocki05,1.02,G2V,HIP_27435_,0,HD_38858_,slightly active,5733,12,2008A&A...487..373S,,4.51,0.01,2008A&A...487..373S,-0.22,0.01,2008A&A...487..373S,0.913,0,1,2,1,3,MUST,HIP_27435,0.847359352649497
18.796337,-45.531666,01 15 10.57,-45 31 55.5,15.177,HIP_5862_,HD_7570_,4.97,0.571,0.007,65.8894,0.1803,GaiaDR2,4.06,Sun-like,F9V_Fe+0.4,2006AJ....132..161G,-0.05,4.01,0.29,102,HIP_5862_,1,1,1,0,0,3,-4.95,Henry96,4.7,Glebocki05,1.14,F9V_Fe+0.4,HIP_5862_,1,HD_7570_,quiet,6111,12,2014A&A...561A...7R,,4.36,0.03,2014A&A...561A...7R,0.17,0.01,2014A&A...561A...7R,1.246,0,1,2,1,3,MUST,HIP_5862,1.19692689940465
63.818,-7.6528707,04 15 17.64,-07 38 40.4,4.985,HIP_19849_,HD_26965_,4.43,0.82,0.0,200.62,0.23,HIP2,5.94,Sun-like,K0.5V,2006AJ....132..161G,-0.21,5.73,-0.397,12,HIP_19849_,1,1,3,1,0,6,-4.872,Baliunas96,0.9,Glebocki05,0.86,K0.5V,HIP_19849_,1,HD_26965_,slightly active,5202,49,2013ApJ...764...78R,,4.55,0.03,2013ApJ...764...78R,-0.28,0.06,2013ApJ...764...78R,0.78,0,1,2,1,6,MUST,HIP_19849,0.772800914445948
