Day,Mauna Kea,Kitt Peak,Calar Alto,Las Campanas,Sutherland,Siding Spring
105,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
106,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
107,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
108,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
109,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
110,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
111,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
112,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
113,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
114,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
115,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
116,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
117,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
118,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
119,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
120,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
121,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
122,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
123,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
124,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
125,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
126,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
127,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
128,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
129,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
130,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
131,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
132,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
133,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
134,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
135,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
136,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
137,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
138,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
139,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
140,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
141,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
142,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
143,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
144,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
145,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
146,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
147,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
148,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
149,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
150,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
151,0.78499997,0.7829793,0.366863905325444,0.730050323508267,0.537837837837838,0.65
152,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
153,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
154,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
155,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
156,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
157,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
158,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
159,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
160,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
161,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
162,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
163,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
164,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
165,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
166,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
167,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
168,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
169,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
170,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
171,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
172,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
173,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
174,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
175,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
176,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
177,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
178,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
179,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
180,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
181,0.8,0.7181318,0.611439842209073,0.697373905794081,0.537837837837838,0.65
182,0.87,0.3967055,0.775147928994083,0.76248992747784,0.537837837837838,0.65
183,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
184,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
185,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
186,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
187,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
188,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
189,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
190,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
191,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
192,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
193,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
194,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
195,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
196,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
197,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
