Day,Month,CTIO,CalarAlto1,CalarAlto2,KPNO,LaSilla,Magellan,MaunaKea,MMT,SSO,Sutherland,WIYN
164,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
165,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
166,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
167,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
168,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
169,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
170,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
171,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
172,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
173,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
174,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
175,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
176,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
177,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
178,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
179,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
180,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
181,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
182,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.761688406705966,0.87,0.330561330561331,0.65,0.537837837837838,0.3967055
183,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
184,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
185,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
186,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
187,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
188,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
189,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
190,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
191,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
192,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
193,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
194,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
195,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
196,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
197,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
198,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
199,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
200,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
201,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
202,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
203,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
204,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
205,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
206,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
207,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
