Date__(UT)__HR:MN,R.A._(ICRF),DEC__(ICRF),R.A.__(a-app),DEC_(a-app),APmag,Ang-diam,delta,deldot,S-T-O,Cnst,N.Pole-RA,N.Pole-DC
1832-Nov-12 18:00, 04 05 49.07, +21 25 55.5, 03 56 00.51, +20 58 08.5, -2.041, 18.51008, 0.50595684, -0.0064282, 7.196, Tau, 317.86241, 52.98925
1834-Dec-29 00:00, 07 10 17.23, +26 13 43.3, 07 00 05.54, +26 29 12.6, -1.521, 15.1322, 0.61889877, 0.0038567, 4.6442, Gem, 317.86039, 52.98804
1837-Feb-05 06:00, 09 34 57.81, +19 12 26.1, 09 25 51.13, +19 55 41.3, -1.287, 13.89555, 0.6739784, -0.0255515, 2.8056, Leo, 317.85805, 52.98692
1839-Mar-15 06:00, 11 37 03.83, +06 39 24.5, 11 28 47.94, +07 32 38.3, -1.402, 14.12255, 0.6631452, -0.0339671, 3.3817, Leo, 317.85557, 52.98563
1841-Apr-24 18:00, 13 44 29.60, -09 13 26.1, 13 36 09.82, -08 25 38.5, -1.649, 15.94833, 0.58722765, -0.0087202, 5.762, Vir, 317.85329, 52.98419
1843-Jun-15 00:00, 16 51 07.04, -25 37 08.2, 16 41 33.97, -25 20 41.5, -2.271, 20.30179, 0.46130415, 0.0158728, 7.7785, Sco, 317.85133, 52.98283
1845-Aug-18 12:00, 22 09 15.43, -18 41 33.8, 22 00 48.87, -19 26 32.4, -2.926, 25.1066, 0.37302143, 0.0046148, 4.9885, Aqr, 317.84876, 52.98172
1847-Oct-23 06:00, 02 41 21.72, +14 01 00.0, 02 33 04.07, +13 21 40.2, -2.284, 20.64906, 0.45354616, 0.0209476, 7.6003, Ari, 317.84605, 52.9801
1849-Dec-12 06:00, 06 03 32.42, +26 18 24.8, 05 54 12.87, +26 18 01.6, -1.737, 16.13086, 0.58058285, 0.0081733, 5.6616, Gem, 317.84409, 52.97873
1852-Jan-22 12:00, 08 42 29.29, +22 49 51.7, 08 33 49.91, +23 21 16.1, -1.326, 14.18837, 0.66006892, 0.020256, 3.2956, Cnc, 317.84186, 52.97762
1854-Feb-28 12:00, 10 50 20.42, +12 01 49.0, 10 42 39.11, +12 48 02.7, -1.365, 13.87023, 0.6752085, 0.0366055, 2.8888, Leo, 317.8394, 52.97641
1856-Apr-08 00:00, 12 51 34.40, -02 41 31.1, 12 44 11.77, -01 54 38.6, -1.537, 14.99968, 0.62436677, 0.0392504, 4.8574, Vir, 317.83701, 52.97502
1858-May-24 12:00, 15 25 06.48, -19 45 53.3, 15 17 01.13, -19 15 51.0, -1.938, 18.22682, 0.51381982, 0.036703, 7.3424, Lib, 317.83495, 52.97358
1860-Jul-22 12:00, 19 55 40.54, -27 09 26.0, 19 47 09.45, -27 31 09.9, -2.719, 23.95914, 0.39088636, 0.0014233, 6.3009, Sgr, 317.83279, 52.97242
1862-Sep-29 00:00, 01 07 26.22, +02 41 40.4, 01 00 24.55, +01 57 49.1, -2.617, 23.08112, 0.40575581, -0.0065955, 7.1018, Psc, 317.82983, 52.97102
1864-Nov-24 00:00, 04 49 52.58, +24 01 46.8, 04 41 43.66, +23 47 21.8, -1.905, 17.53851, 0.53398494, 0.0129988, 6.6574, Tau, 317.82773, 52.96945
1867-Jan-07 00:00, 07 45 26.06, +25 23 01.6, 07 37 21.93, +25 41 50.4, -1.454, 14.71965, 0.63624483, -0.0341892, 4.1987, Gem, 317.82564, 52.9683
1869-Feb-13 18:00, 10 02 52.53, +16 48 06.9, 09 55 43.72, +17 25 48.4, -1.351, 13.82955, 0.67719483, 0.0108959, 2.6828, Leo, 317.82324, 52.96716
1871-Mar-24 00:00, 12 03 21.66, +03 24 25.2, 11 56 46.05, +04 07 25.6, -1.366, 14.36167, 0.65210364, -0.0156985, 3.8264, Vir, 317.82078, 52.96584
1873-May-05 00:00, 14 17 15.44, -13 01 37.2, 14 10 25.30, -12 26 23.4, -1.776, 16.62728, 0.56324906, 0.0119911, 6.3634, Vir, 317.81858, 52.96438
1875-Jun-28 06:00, 17 50 15.34, -27 46 05.4, 17 42 26.42, -27 43 45.8, -2.437, 21.6188, 0.43320172, 0.0098383, 7.6278, Sgr, 317.81661, 52.96309
1877-Sep-02 18:00, 23 18 32.47, -11 16 58.0, 23 12 11.89, -11 56 54.1, -2.838, 24.86486, 0.37664796, -0.0239522, 5.4283, Aqr, 317.81381, 52.96192
1879-Nov-04 18:00, 03 29 39.45, +18 40 01.5, 03 22 50.47, +18 15 15.1, -2.19, 19.4135, 0.48241177, 0.0069813, 7.4508, Tau, 317.81135, 52.96026
1881-Dec-22 00:00, 06 41 52.71, +26 31 17.9, 06 34 34.82, +26 37 44.1, -1.574, 15.53656, 0.6027911, 0.0351647, 5.0512, Gem, 317.80937, 52.95899
1884-Jan-31 00:00, 09 12 39.48, +20 53 30.4, 09 06 04.50, +21 21 44.8, -1.377, 13.99758, 0.66906559, 0.0087703, 2.9818, Cnc, 317.80707, 52.95788
1886-Mar-09 00:00, 11 16 39.53, +09 03 19.7, 11 10 45.61, +09 40 26.6, -1.272, 13.9807, 0.6698736, 0.0409856, 3.1748, Leo, 317.80459, 52.95663
1888-Apr-17 06:00, 13 20 52.47, -06 21 58.0, 13 15 04.14, -05 46 47.2, -1.603, 15.47957, 0.60501038, -0.0372778, 5.2302, Vir, 317.80226, 52.95521
1890-Jun-05 06:00, 16 10 42.26, -23 16 25.3, 16 04 10.44, -22 59 10.2, -2.088, 19.31184, 0.48495113, -0.0169408, 7.5663, Sco, 317.80027, 52.9538
1892-Aug-06 12:00, 21 10 58.70, -23 22 48.5, 21 04 46.62, -23 49 04.1, -2.914, 24.81806, 0.3773582, -0.0208467, 5.3426, Cap, 317.79789, 52.9527
1894-Oct-13 00:00, 02 01 29.19, +09 31 31.6, 01 55 55.51, +09 01 10.5, -2.452, 21.73009, 0.43098311, -0.0010384, 7.5581, Psc, 317.79503, 52.95116
1896-Dec-04 12:00, 05 32 29.95, +25 39 31.7, 05 26 09.88, +25 35 03.8, -1.857, 16.70121, 0.56075575, -0.0243842, 6.224, Tau, 317.79304, 52.9497
1899-Jan-16 00:00, 08 18 23.04, +24 05 32.8, 08 12 25.01, +24 24 12.2, -1.412, 14.39263, 0.65070092, 0.0225205, 3.6429, Cnc, 317.79087, 52.94858
1901-Feb-23 00:00, 10 30 18.07, +14 08 17.5, 10 25 03.15, +14 38 25.4, -1.287, 13.82521, 0.67740751, -0.0420785, 2.6892, Leo, 317.78843, 52.94741
1903-Apr-03 00:00, 12 30 19.78, -00 00 38.9, 12 25 23.95, +00 31 17.4, -1.427, 14.67847, 0.63802967, 0.0051048, 4.3374, Vir, 317.786, 52.94604
1905-May-16 18:00, 14 53 48.62, -16 52 33.9, 14 48 32.86, -16 29 19.5, -1.841, 17.45301, 0.5366009, -0.0049854, 6.857, Lib, 317.78388, 52.94459
1907-Jul-13 06:00, 18 57 45.39, -28 19 05.2, 18 51 56.62, -28 26 20.5, -2.666, 22.97781, 0.40758018, 0.0139609, 7.0682, Sgr, 317.78184, 52.94338
1909-Sep-18 18:00, 00 21 32.27, -03 19 19.9, 00 16 55.62, -03 49 21.4, -2.731, 24.04637, 0.38946832, -0.0103014, 6.3954, Psc, 317.7789, 52.94209
1911-Nov-17 12:00, 04 15 31.82, +22 07 14.7, 04 10 19.08, +21 54 07.9, -2.069, 18.32031, 0.51119761, 0.0115329, 7.0653, Tau, 317.77666, 52.94047
1914-Jan-01 06:00, 07 18 34.23, +26 05 34.2, 07 13 18.36, +26 14 59.7, -1.562, 15.04611, 0.62243994, 0.0013631, 4.5798, Gem, 317.77463, 52.93927
1916-Feb-09 12:00, 09 41 29.33, +18 40 05.9, 09 36 51.81, +19 02 51.8, -1.28, 13.87765, 0.67484787, 0.0257986, 2.7542, Leo, 317.77227, 52.93815
1918-Mar-18 12:00, 11 42 58.34, +05 54 29.0, 11 38 48.27, +06 21 27.9, -1.409, 14.16191, 0.66130214, 0.0086089, 3.4951, Vir, 317.76979, 52.93686
1920-Apr-28 06:00, 13 51 24.35, -10 05 33.8, 13 47 12.95, -09 42 03.2, -1.701, 16.06221, 0.58306416, 0.0212592, 5.935, Vir, 317.76753, 52.93542
1922-Jun-19 00:00, 17 03 03.54, -26 12 16.5, 16 58 17.63, -26 05 31.6, -2.323, 20.54011, 0.45595185, 0.0159239, 7.7896, Oph, 317.76557, 52.93407
1924-Aug-23 00:00, 22 24 05.38, -17 14 42.8, 22 20 01.16, -17 37 30.7, -2.881, 25.11843, 0.37284572, 0.0026081, 4.9747, Aqr, 317.76295, 52.93295
1926-Oct-27 06:00, 02 51 58.30, +15 09 44.0, 02 47 55.77, +14 51 42.0, -2.225, 20.41151, 0.45882454, 0.0111063, 7.5783, Ari, 317.76029, 52.93132
1928-Dec-15 12:00, 06 12 43.02, +26 25 46.2, 06 08 17.89, +26 26 55.4, -1.751, 16.00985, 0.58497103, -0.0374749, 5.6978, Gem, 317.75833, 52.92997
1931-Jan-25 12:00, 08 49 54.78, +22 23 21.5, 08 45 55.77, +22 38 47.6, -1.314, 14.14406, 0.66213673, -0.0364226, 3.3114, Cnc, 317.75609, 52.92887
1933-Mar-03 12:00, 10 56 45.78, +11 18 32.4, 10 53 17.10, +11 39 50.5, -1.325, 13.88276, 0.67459935, -0.0162241, 2.8607, Leo, 317.75362, 52.92766
1935-Apr-12 06:00, 12 58 10.34, -03 33 29.4, 12 54 52.25, -03 12 45.8, -1.56, 15.08053, 0.6210193, 0.0151722, 4.8925, Vir, 317.75123, 52.92626
1937-May-28 06:00, 15 34 23.42, -20 35 16.9, 15 30 48.48, -20 22 51.0, -2., 18.41603, 0.50854074, 0.0306091, 7.448, Lib, 317.74919, 52.92482
