_RAJ2000,_DEJ2000,HIP,Vmag,Plx,B-V,pc,target_blind,target_deep,has_planets,SPOCS,HD Name,Rstar,Rstar_source,Teff,Teff_source,logg,logg_source,__M_H_,__M_H__source,Vsini,Vsini_source,Mstar,Mstar_source,Vmac,Vmac_source,Comments,Other Name,MK,S,S_source,logRHK,logRHK_source
208.67116,18.397717,67927,2.68,88.17,0.58,11.341726,true,false,false,,HD 121370,2.19,CADARS,6201.8,RAVE DR5,3.96,RAVE DR5,0.13,RAVE DR5,11.3,Glebocki 2005,1.15,ISBN 0199697140,,,Double? (spectroscopic),eta Boo,G0IV,0.125,Schroeder 2009 Classic,-5.158,Schroeder 2009 Template
247.11726,-70.084404,80686,4.9,82.61,0.555,12.105072,true,false,false,,HD 147584,0.99,CADARS,5963,PASTEL 2016,4.45,PASTEL 2016,-0.16,PASTEL 2016,2.4,Glebocki 2005,1.2,Guess with ISBN 0199697140,,,"Spectroscopic binary (13 day orbit, 7.5 km/s K). Was CATSUP (which in turn used an older version of PASTEL)",,F9V,,,,
4.59542,44.02278,1475,8.13,280.27,1.56,3.5679882,true,false,true,,HD 1326A,0.388,Mann 2015,3603,Mann 2015,4.83,Mann 2015 (Calculated),-0.3,Mann 2015,0.6,Newton 2016,0.398,Mann 2015,,,Binary with up to 41.5 arcsec separation; single entry in HabEx; R&Teff also in Newton 2015.,Gl 15A; GX And,M2V,0.568,White 2007,,
4.60779,44.02734,1475B,11.04,280.27,1.8,3.5679882,true,false,false,,HD 1326B,0.1923,Mann 2015,3218,Mann 2015,4.92,Prugniel 2011,-0.3,Mann 2015,0.1,Newton 2016,0.159,Mann 2015,,,Binary with up to 41.5 arcsec separation; single entry in HabEx.,Gl 15B; GQ And,M3.5Ve,1.083,White 2007,,
34.26346,34.22423,10644,4.84,92.2,0.607,10.845987,true,false,false,,HD 13974,0.98,CADARS,5597,ELODIE,3.92,ELODIE,-0.41,ELODIE,8.6,Glebocki 2005,1.125,Interpolation of ISBN 0199697140,,,Double (spectroscopic); some properties also in Gaspar 2016,del Tri; GJ 92,G0.5VFe-0.5,0.171,White 2007,-4.9,White 2007
76.37773,-57.472702,23693,4.71,85.83,0.526,11.650938,true,false,false,,HD 33262,1.3,CADARS,6069,PASTEL 2016,4.45,PASTEL 2016,-0.25,PASTEL 2016,17.3,Glebocki 2005,1.2,Guess with ISBN 0199697140,,,,,F9VFe-0.5,0.272,Schroeder 2009 Classic,-4.426,Schroeder 2009 Classic
77.91909,-45.018414,24186,8.86,255.26,1.543,3.9175744,true,false,false,,HD 33793,0.43,CADARS,3524,PASTEL 2016,4.87,PASTEL 2016,-0.5,PASTEL 2016,5.4,Glebocki 2005,0.49,https://arxiv.org/abs/0903.3371,,,Teff and logg match Schroeder 2009; also in Gaspar 2016,,M1VIp,0.333,Schroeder 2009 Classic,,
82.86415,-3.677229,25878,7.97,175.72,1.474,5.6908717,true,false,false,,HD 36395,0.5735,Newton 2015,3850,Newton 2015,4.7,Prugniel 2011 (MILES),0,Prugniel 2011 (MILES),2.73,Houdebine 2010,0.633,Mann 2015,,,Also in PASTEL; Houdebine; and ELODIE. Companion or not?,GJ 205,M1.5Ve,,,,
92.64423,-21.864643,29295,8.15,173.19,1.487,5.7740054,true,false,false,,HD 42581,0.695,Houdebine 2010,3522,Houdebine 2010,5,RAJPUROHIT 2013,0.06,Houdebine 2010,1.6,Glebocki 2005,0.49,https://arxiv.org/abs/0903.3371,,,Brown dwarf companion (sometimes resolveable),GJ 229,M1V,1.805,Schroeder 2009 Classic,,
152.84225,49.454235,49908,6.6,205.22,1.326,4.8728194,true,true,false,,HD 88230,0.6398,Newton 2015,4176,Newton 2015,4.55,Prugniel 2011 (MILES),-0.05,Prugniel 2011 (MILES),2.5,Glebocki 2005,0.707,Mann 2015,,,Also in PASTEL (partially); Gaspar 2016; and ELODIE,GJ 380,K6VeFe-1,,,,
