_RAJ2000,_DEJ2000,RAhms,DEdms,pc,HIP_2,HD_2,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_2,Mbol,log(L/Lsun),Habex,HIP_2a,L-A,L-B,Hab,SR1,SR3,lists_2,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_2b,Teff,HD_2a,notes,K,eTeff,ref_Teff,BCv_2a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_2a,Sample,Name,solRad
138.58559,61.423317,09 14 20.55,+61 25 24.2,19.659,HIP_45333_,HD_79028_,5.18,0.605,0.003,50.8675,0.1742,GaiaDR2,3.71,Sun-like,G0IV-V,2003AJ....126.2048G,-0.065,3.65,0.437,142,HIP_45333_,1,1,1,0,0,3,-5.18,Hall07,4.8,Glebocki05,1.08,G0IV-V,HIP_45333_,1,HD_79028_,quiet,5973,72,2013ApJ...764...78R,,4.13,0.03,2013ApJ...764...78R,0.05,0.04,2013ApJ...764...78R,1.545,0,1,2,1,3,MUST,HIP_45333,2.03267350937466
316.73026,38.742054,21 06 52.19,+38 44 03.9,3.495,HIP_104217_,HD_201092_,6.05,1.309,0.012,286.1457,0.059,GaiaDR2,8.33,Sun-like,K7V,1989ApJS...71..245K,-0.95,7.38,-1.057,4,HIP_104217_,1,1,3,0,0,5,-4.891,Baliunas96,1.8,Glebocki05,0.63,K7V,HIP_104217_,1,HD_201092_,slightly active,4045,25,2014A&A...564A.133J,,4.53,0.04,2014A&A...564A.133J,-0.38,0.03,2014A&A...564A.133J,0.603,0,1,2,1,5,MUST,HIP_104217,0.809221899476192
236.61089,7.353073,15 46 26.75,+07 21 11.7,11.819,HIP_77257_,HD_141004_,4.42,0.604,0.008,84.6121,0.2559,GaiaDR2,4.06,Sun-like,G0-V,1989ApJS...71..245K,-0.065,3.99,0.299,64,HIP_77257_,1,1,1,0,0,3,-5.004,Baliunas96,3.3,Glebocki05,1.09,G0-V,HIP_77257_,1,HD_141004_,quiet,5900,45,2013ApJ...764...78R,,4.17,0.03,2013ApJ...764...78R,-0.01,0.04,2013ApJ...764...78R,1.351,0,1,2,1,3,MUST,HIP_77257,1.85382027342131
202.10754,13.778788,13 28 25.95,+13 46 48.7,17.91,HIP_65721_,HD_117176_,4.97,0.714,0.007,55.8347,0.173,GaiaDR2,3.7,Sun-like,G4V-IV,2002AJ....124.1670M,-0.1,3.6,0.454,127,HIP_65721_,1,1,1,0,0,3,-5.26,Radick18,3,Glebocki05,0.99,G4V-IV,HIP_65721_,1,HD_117176_,quiet,5559,19,2015A&A...574A..50J,,4.05,0.04,2015A&A...574A..50J,-0.06,0.02,2015A&A...574A..50J,1.819,0,1,2,1,3,MUST,HIP_65721,2.44381106751012
293.08997,69.66118,19 32 20.59,+69 39 55.4,5.755,HIP_96100_,HD_185144_,4.67,0.786,0.007,173.77,0.18,HIP2,5.87,Sun-like,K0V,1989ApJS...71..245K,-0.19,5.68,-0.376,15,HIP_96100_,1,1,3,1,0,6,-4.832,Baliunas96,1.8,Glebocki05,0.87,K0V,HIP_96100_,0,HD_185144_,slightly active,5318,10,2005PASJ...57...27T,,4.59,0.04,2005PASJ...57...27T,-0.15,0.02,2005PASJ...57...27T,0.764,0,1,2,1,6,MUST,HIP_96100,0.704802810638864
152.84225,49.454235,10 11 23.36,+49 27 19.7,4.869,HIP_49908_,HD_88230_,6.6,1.326,0.008,205.3917,0.0342,GaiaDR2,8.16,Sun-like,K7V,1991ApJS...77..417K,-0.95,7.21,-0.989,11,HIP_49908_,1,1,2,0,0,4,-4.617,Gray03,2.7,Glebocki05,0.63,K7V,HIP_49908_,1,HD_88230_,active,4131,60,2015ApJ...804...64M,,4.61,0.05,2014MNRAS.444.3517M,0.24,0.08,2015ApJ...804...64M,0.625,0,1,2,1,4,MUST,HIP_49908,0.673081458767184
87.145584,-4.094648,05 48 34.90,-04 05 38.7,15.255,HIP_27435_,HD_38858_,5.97,0.639,0.002,65.5534,0.0621,GaiaDR2,5.05,Sun-like,G2V,2003AJ....126.2048G,-0.085,4.97,-0.091,103,HIP_27435_,1,1,1,0,0,3,-4.89,Radick18,2.7,Glebocki05,1.02,G2V,HIP_27435_,0,HD_38858_,slightly active,5733,12,2008A&A...487..373S,,4.51,0.01,2008A&A...487..373S,-0.22,0.01,2008A&A...487..373S,0.913,0,1,2,1,3,MUST,HIP_27435,0.847359352649497
316.72476,38.749416,21 06 50.84,+38 44 29.4,3.497,HIP_104214_,HD_201091_,5.2,1.069,0.015,285.9459,0.1008,GaiaDR2,7.48,Sun-like,K5V,1989ApJS...71..245K,-0.63,6.85,-0.845,5,HIP_104214_,1,1,3,0,0,5,-4.765,Baliunas96,1.8,Glebocki05,0.68,K5V,HIP_104214_,1,HD_201091_,slightly active,4339,27,2014A&A...564A.133J,,4.43,0.16,2014A&A...564A.133J,-0.33,0.02,2014A&A...564A.133J,0.669,0,1,2,1,5,MUST,HIP_104214,1.01875001303093
25.624008,20.268505,01 42 29.95,+20 16 12.5,7.605,HIP_7981_,HD_10476_,5.24,0.836,0.008,131.4903,0.1515,GaiaDR2,5.83,Sun-like,K1V,1989ApJS...71..245K,-0.23,5.6,-0.346,25,HIP_7981_,1,1,2,0,0,4,-4.912,Baliunas96,0.1,Glebocki05,0.85,K1V,HIP_7981_,1,HD_10476_,quiet,5196,8,2005PASJ...57...27T,,4.5,0.03,2005PASJ...57...27T,-0.01,0.01,2005PASJ...57...27T,0.829,0,1,2,1,4,MUST,HIP_7981,0.867096887509786
63.818,-7.6528707,04 15 17.64,-07 38 40.4,4.985,HIP_19849_,HD_26965_,4.43,0.82,0.0,200.62,0.23,HIP2,5.94,Sun-like,K0.5V,2006AJ....132..161G,-0.21,5.73,-0.397,12,HIP_19849_,1,1,3,1,0,6,-4.872,Baliunas96,0.9,Glebocki05,0.86,K0.5V,HIP_19849_,1,HD_26965_,slightly active,5202,49,2013ApJ...764...78R,,4.55,0.03,2013ApJ...764...78R,-0.28,0.06,2013ApJ...764...78R,0.78,0,1,2,1,6,MUST,HIP_19849,0.772800914445948
